"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-05","4.92",",,W",,,"0.07",",,W,2400","0.0",",,W,2400","9.1",",,W,2400",,,"47",",,W","37",",,W",,,"  270",",,W","  280",",,W","17.0",",,W","25.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-06","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","7.1",",,W,2400",,,"44",",,W","34",",,W",,,"  240",",,W","  240",",,W","25.1",",,W","36.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-07","6.26",",,W",,,"0.39",",,W,2400","4.5",",,W,2400","5.9",",,W,2400",,,"40",",,W","24",",,W",,,"  300",",,W","  300",",,W","15.0",",,W","27.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-08","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","9.8",",,W,2400",,,"29",",,W","17",",,W",,,"  300",",,W","  300",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-09","4.92",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","9.1",",,W,2400",,,"33",",,W","27",",,W",,,"  360",",,W","  100",",,W","10.1",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-10","4.03",",,W",,,"0.01",",,W,2400","0.0","T,,W,2400","9.1",",,W,2400",,,"35",",,W","26",",,W",,,"  300",",,W","  300",",,W","10.1",",,W","15.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-11","6.04",",,W",,,"0.10",",,W,2400","1.3",",,W,2400","9.1",",,W,2400",,,"33",",,W","26",",,W",,,"  350",",,W","   20",",,W","13.0",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-12","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","7.9",",,W,2400",,,"30",",,W","20",",,W",,,"   50",",,W","   40",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-13","6.93",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","7.9",",,W,2400",,,"30",",,W","25",",,W",,,"   50",",,W","   50",",,W","17.0",",,W","21.0",",,W",,,,,,,"    1",",,W",,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-14","4.25",",,W",,,"0.00",",,W,2400","0.0","T,,W,2400","7.9",",,W,2400",,,"38",",,W","27",",,W",,,"   50",",,W","   40",",,W","14.1",",,W","18.1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-15","5.82",",,W",,,"0.02",",,W,2400","0.0","T,,W,2400","7.1",",,W,2400",,,"36",",,W","31",",,W",,,"   60",",,W","   40",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,"    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-16","7.83",",,W",,,"0.82",",,W,2400","0.0","T,,W,2400","5.9",",,W,2400",,,"51",",,W","34",",,W",,,"  280",",,W","  280",",,W","19.9",",,W","31.1",",,W","    1",",,W",,,,,"    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-17","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","3.1",",,W,2400",,,"34",",,W","22",",,W",,,"  300",",,W","  310",",,W","21.9",",,W","31.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-18","7.83",",,W",,,"0.45",",,W,2400","3.2",",,W,2400","2.0",",,W,2400",,,"30",",,W","24",",,W",,,"   50",",,W","   40",",,W","16.1",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W","    1",",,W"
